date,store,promo,holiday,year,month,day,dayofweek,is_weekend,sales,prediction
2023-04-30,10,0,0,2023,4,30,6,1,199.74,205.74610904467409
2023-09-30,3,0,0,2023,9,30,5,1,201.97,213.64380876176438
2023-10-16,10,0,0,2023,10,16,0,0,212.63,244.67220723728678
2023-12-17,9,0,0,2023,12,17,6,1,244.54,217.77512128069066
2022-04-17,2,0,1,2022,4,17,6,1,216.75,225.5261765405594
2023-07-06,5,1,0,2023,7,6,3,0,253.61,263.97323948628764
2023-11-26,8,0,0,2023,11,26,6,1,216.5,215.98437420000118
2023-12-13,3,0,0,2023,12,13,2,0,238.32,241.94356993649126
2023-03-07,9,0,0,2023,3,7,1,0,254.3,231.66170375246293
2023-01-07,9,0,0,2023,1,7,5,1,211.07,202.89088786437787
2023-02-03,1,0,0,2023,2,3,4,0,222.38,222.06467821871047
2023-07-05,3,0,0,2023,7,5,2,0,242.88,234.26592587164487
2023-03-17,10,0,0,2023,3,17,4,0,190.27,225.89717144121096
2023-07-08,2,0,0,2023,7,8,5,1,196.7,210.31753286810272
2022-01-23,8,0,0,2022,1,23,6,1,196.87,182.48875666115782
2022-08-04,8,0,0,2022,8,4,3,0,221.22,216.93063308776618
2023-08-30,6,0,0,2023,8,30,2,0,265.45,236.56710948779073
2023-01-12,3,0,0,2023,1,12,3,0,219.28,223.04616946751776
2022-10-17,2,0,1,2022,10,17,0,0,239.59,264.4522747331721
2023-08-20,2,1,0,2023,8,20,6,1,230.45,241.04993876024673
2022-05-13,7,1,0,2022,5,13,4,0,222.05,241.2657054603187
2023-04-21,1,1,0,2023,4,21,4,0,252.92,256.33919645015703
2023-09-13,4,0,0,2023,9,13,2,0,260.48,237.59220176530653
2022-12-29,8,0,0,2022,12,29,3,0,217.28,223.0727483396331
2022-07-11,3,1,0,2022,7,11,0,0,235.38,251.34222412064992
2022-07-22,10,1,0,2022,7,22,4,0,221.73,245.1024178894295
2023-10-24,10,0,0,2023,10,24,1,0,238.22,242.6656237109637
2022-12-05,4,0,0,2022,12,5,0,0,222.68,228.0716258477114
2023-04-22,2,1,0,2023,4,22,5,1,227.94,236.91440703471017
2023-10-24,8,0,0,2023,10,24,1,0,242.77,242.1551871755073
2023-05-14,8,0,0,2023,5,14,6,1,201.71,206.77120132218988
2022-12-27,7,0,0,2022,12,27,1,0,240.94,226.830697124562
2022-05-18,2,0,1,2022,5,18,2,0,251.87,252.76146361567953
2022-02-24,5,0,1,2022,2,24,3,0,243.51,246.9139484536281
2023-06-26,1,0,0,2023,6,26,0,0,234.67,236.23312757588428
2023-02-07,2,0,0,2023,2,7,1,0,229.28,228.33964706541155
2023-05-17,10,0,0,2023,5,17,2,0,233.7,232.98139611979423
2023-10-06,8,0,0,2023,10,6,4,0,217.86,236.13543659653078
2023-04-16,5,1,1,2023,4,16,6,1,275.66,275.63562135840766
2022-05-10,8,0,0,2022,5,10,1,0,212.47,216.33721370151034
2022-02-12,5,0,0,2022,2,12,5,1,178.58,185.26521419727942
2023-05-21,6,0,0,2023,5,21,6,1,218.02,206.26076478674076
2022-12-06,5,0,0,2022,12,6,1,0,222.32,226.32026058911288
2022-12-18,7,1,0,2022,12,18,6,1,243.64,230.32781594159314
2023-09-30,10,0,0,2023,9,30,5,1,208.81,215.43033663584356
2023-01-29,4,0,0,2023,1,29,6,1,215.13,199.60821299941745
2023-09-16,4,0,0,2023,9,16,5,1,223.12,213.89902702948893
2023-08-11,8,0,0,2023,8,11,4,0,206.7,233.06437897060096
2023-04-28,9,0,0,2023,4,28,4,0,227.34,227.1774819864513
2023-09-27,7,0,0,2023,9,27,2,0,251.87,238.35785656848748
2023-10-29,5,0,0,2023,10,29,6,1,208.07,213.68319058385532
2023-01-25,7,0,0,2023,1,25,2,0,242.72,226.07362606473907
2023-01-04,9,0,0,2023,1,4,2,0,259.7,226.58406260019547
2023-03-17,4,0,0,2023,3,17,4,0,230.2,224.36586183485633
2022-01-04,9,0,1,2022,1,4,1,0,272.69,250.41245976421487
2022-09-21,7,0,0,2022,9,21,2,0,238.29,220.21752715932962
2022-12-17,2,0,0,2022,12,17,5,1,195.32,199.85484752378397
2023-09-26,6,0,0,2023,9,26,1,0,256.26,240.10922182709328
2023-09-18,3,0,0,2023,9,18,0,0,223.12,241.3501505502354
2022-09-20,4,1,0,2022,9,20,1,0,265.04,252.6619164879885
2023-07-18,3,0,0,2023,7,18,1,0,237.44,236.27250939797523
2023-05-07,8,0,0,2023,5,7,6,1,209.17,206.77120132218988
2022-08-15,1,1,0,2022,8,15,0,0,240.88,252.367316398173
2022-10-11,2,0,1,2022,10,11,1,0,262.79,262.445691206849
2023-04-15,3,0,0,2023,4,15,5,1,201.37,205.96616469692526
2023-09-04,8,0,0,2023,9,4,0,0,228.76,242.62624188886548
2023-11-06,2,0,0,2023,11,6,0,0,215.99,244.16598990844795
2023-12-21,3,0,0,2023,12,21,3,0,236.98,239.93698641016817
2023-11-29,1,0,0,2023,11,29,2,0,263.94,239.89760458806995
2023-01-30,2,0,0,2023,1,30,0,0,211.65,228.81070177876973
2022-09-03,6,0,0,2022,9,3,5,1,201.35,196.2691341557802
2022-11-15,3,0,0,2022,11,15,1,0,220.66,224.27429524069157
2022-03-27,8,0,0,2022,3,27,6,1,184.71,185.55981428709492
2023-03-21,4,0,0,2023,3,21,1,0,247.05,230.38561241383286
2023-07-24,5,1,0,2023,7,24,0,0,256.62,269.99299006526417
2022-11-04,2,0,0,2022,11,4,4,0,203.75,217.9993263939905
2022-03-08,4,0,0,2022,3,8,1,0,225.84,212.245283004675
2023-05-14,7,0,0,2023,5,14,6,1,213.17,206.51598305446532
2023-10-08,10,0,0,2023,10,8,6,1,214.27,214.9592819224854
2022-11-10,1,0,0,2022,11,10,3,0,235.82,219.750691652589
2023-04-05,4,0,0,2023,4,5,2,0,254.37,229.9145577004674
2022-04-02,4,0,0,2022,4,2,5,1,194.87,188.08105355549196
2022-04-22,8,0,0,2022,4,22,4,0,198.17,208.7819343095689
2022-12-24,4,0,0,2022,12,24,5,1,203.27,200.3652840592331
2023-12-01,3,0,0,2023,12,1,4,0,220.77,237.9304028838451
2022-08-06,5,0,0,2022,8,6,5,1,179.21,194.47838707509072
2022-08-11,9,0,0,2022,8,11,3,0,239.22,217.18585135549074
2022-11-14,6,0,0,2022,11,14,0,0,229.56,227.0465335701956
2023-11-30,2,0,0,2023,11,30,3,0,246.9,238.14623932947143
2022-03-01,8,0,0,2022,3,1,1,0,204.44,213.26615607557324
2022-11-27,4,0,0,2022,11,27,6,1,215.06,196.82317171993782
2023-01-19,10,1,0,2023,1,19,3,0,253.6,256.0361579471064
2022-10-02,8,1,0,2022,10,2,6,1,227.74,227.5119765833806
2023-03-25,1,1,0,2023,3,25,5,1,232.57,235.12365995401342
2022-08-04,7,1,0,2022,8,4,3,0,260.0,247.8788754255438
2023-07-09,2,0,0,2023,7,9,6,1,205.1,208.31094934177236
2022-03-19,6,0,0,2022,3,19,5,1,192.05,187.05596127797617
2022-12-28,1,1,0,2022,12,28,2,0,271.97,254.49626459738647
2022-05-08,10,0,1,2022,5,8,6,1,218.72,229.10345149533532
2023-12-07,8,0,1,2023,12,7,3,0,277.54,281.17522079564515
2022-09-28,4,0,0,2022,9,28,2,0,250.06,219.45187235614867
2022-01-23,1,0,0,2022,1,23,6,1,183.31,180.70222878707864
2023-08-30,3,0,0,2023,8,30,2,0,240.72,235.80145468461706
2022-07-13,3,0,0,2022,7,13,2,0,215.74,216.125596462487
2023-12-04,1,0,0,2023,12,4,0,0,233.02,245.4463004536883
2022-06-14,8,0,1,2022,6,14,1,0,249.94,257.83488556132943
2023-07-08,4,0,0,2023,7,8,5,1,218.17,210.82796940355183
2023-10-09,2,0,0,2023,10,9,0,0,224.35,242.63046109548304
2022-03-31,9,0,1,2022,3,31,3,0,271.94,249.47035033749853
2022-10-06,4,0,0,2022,10,6,3,0,239.61,218.98081764279777
2022-04-15,6,0,1,2022,4,15,4,0,243.45,248.23364082096668
2022-05-16,4,0,0,2022,5,16,0,0,215.74,217.3229241569352
2023-04-06,1,0,0,2023,4,6,3,0,236.82,227.14231937097065
2023-06-18,6,0,0,2023,6,18,6,1,215.87,207.79629359970568
2023-03-09,6,0,0,2023,3,9,3,0,239.55,226.88288189662853
2022-01-27,3,0,0,2022,1,27,3,0,199.02,204.9058400583599
2022-01-29,6,0,0,2022,1,29,5,1,184.97,183.98490365203907
2022-10-10,1,0,0,2022,10,10,0,0,212.88,224.23491341859335
2022-06-28,7,1,0,2022,6,28,1,0,262.94,248.82098485226743
2023-10-21,6,0,0,2023,10,21,5,1,226.27,215.94499237791024
2023-09-10,5,1,0,2023,9,10,6,1,238.76,243.3511223763926
2022-01-09,8,0,0,2022,1,9,6,1,178.1,182.48875666115782
2023-01-27,4,0,0,2023,1,27,4,0,217.19,221.29480420891923
2023-10-01,2,0,0,2023,10,1,6,1,205.85,212.91753578067437
2022-01-11,10,0,0,2022,1,11,1,0,200.31,210.70553498509253
2023-05-26,9,0,0,2023,5,26,4,0,241.69,228.71301079941622
2023-08-21,1,0,0,2023,8,21,0,0,232.6,239.30418520182138
2023-12-03,6,1,0,2023,12,3,6,1,257.96,248.21292708302644
2022-03-27,9,0,0,2022,3,27,6,1,198.14,185.81503255481948
2023-11-08,10,1,0,2023,11,8,2,0,272.79,273.3980296031077
2022-11-01,10,1,1,2022,11,1,1,0,295.4,297.2264267671344
2023-01-07,7,0,0,2023,1,7,5,1,210.77,202.38045132892148
2023-07-03,5,0,0,2023,7,3,0,0,218.7,238.7895294597547
2022-10-03,7,1,0,2022,10,3,0,0,250.16,256.96968363045744
2022-03-12,5,0,0,2022,3,12,5,1,176.4,186.8007430102516
2023-10-15,9,0,0,2023,10,15,6,1,229.54,214.70406365475355
2022-12-21,4,0,0,2022,12,21,2,0,253.73,224.05845879505796
2022-10-30,8,0,0,2022,10,30,6,1,198.22,196.30851597787114
2022-08-14,8,0,0,2022,8,14,6,1,193.83,193.23745835193404
2023-02-21,6,0,0,2023,2,21,1,0,239.27,229.36052013631706
2022-12-05,6,0,0,2022,12,5,0,0,219.45,228.58206238316052
2023-04-26,10,0,0,2023,4,26,2,0,231.72,231.44586730682204
2023-11-17,1,0,0,2023,11,17,4,0,229.34,235.88443753542379
2022-05-29,10,1,0,2022,5,29,6,1,203.19,220.3447690539906
2022-11-20,5,0,0,2022,11,20,6,1,186.07,197.07838998766238
2023-06-18,8,1,0,2023,6,18,6,1,241.04,239.51019074067153
2023-03-10,6,0,0,2023,3,10,4,0,222.15,224.87629837030545
2023-10-10,4,0,0,2023,10,10,1,0,257.18,241.13431410460908
2022-02-17,6,0,0,2022,2,17,3,0,218.75,207.20702367450576
2023-07-13,9,0,1,2023,7,13,3,0,290.64,273.7527949985306
2023-01-26,6,0,0,2023,1,26,3,0,240.22,223.81182427069143
2022-02-10,4,0,0,2022,2,10,3,0,216.41,206.69658713904937
2022-07-28,8,0,0,2022,7,28,3,0,217.27,215.395104274794
2022-05-11,4,0,0,2022,5,11,2,0,240.25,213.30975710428174
2023-06-06,1,0,1,2023,6,6,1,0,283.34,274.1886870964081
2023-06-07,1,0,0,2023,6,7,2,0,253.42,232.21996052323084
2023-10-30,8,0,0,2023,10,30,0,0,228.25,244.1617707018304
2022-02-02,9,0,0,2022,2,2,2,0,237.94,209.97926200400252
2022-06-08,10,1,0,2022,6,8,2,0,244.25,247.58005612911074
2023-01-26,8,0,1,2023,1,26,3,0,264.62,264.2844038529947
2022-02-20,2,1,0,2022,2,20,6,1,194.43,213.69643647328485
2023-08-20,8,0,0,2023,8,20,6,1,221.63,211.3777877610919
2023-07-12,7,0,0,2023,7,12,2,0,251.5,235.28679894255038
2023-10-14,1,1,0,2023,10,14,5,1,246.67,245.87236164478963
2022-11-19,8,0,0,2022,11,19,5,1,196.94,199.8506283171737
2022-01-07,4,1,0,2022,1,7,4,0,239.63,234.35793540527084
2023-01-05,1,1,0,2023,1,5,3,0,262.22,253.7391935375781
2023-05-18,10,0,0,2023,5,18,3,0,212.31,230.97481259347114
2023-07-19,6,0,0,2023,7,19,2,0,250.56,235.03158067482582
2023-01-13,1,0,0,2023,1,13,4,0,226.09,220.52914940574556
2022-01-10,8,0,0,2022,1,10,0,0,187.45,212.2016819759665
2022-01-27,4,0,0,2022,1,27,3,0,212.09,205.16105832608446
2023-03-17,8,0,1,2023,3,17,4,0,246.29,265.34887795260875
2022-06-03,3,0,0,2022,6,3,4,0,198.5,210.57690059687593
2023-12-11,9,0,0,2023,12,11,0,0,245.02,247.48804659549205
2023-12-14,5,1,0,2023,12,14,3,0,261.64,271.65088355112675
2022-08-21,2,0,0,2022,8,21,6,1,184.54,191.7061487455794
2023-12-30,9,0,0,2023,12,30,5,1,227.0,219.78170480702101
2022-10-03,10,0,0,2022,10,3,0,0,203.2,226.53187782812893
2023-03-23,8,0,0,2023,3,23,3,0,223.16,227.39331843207765
2022-12-26,1,0,0,2022,12,26,0,0,225.51,227.30597104453045
2022-07-09,6,0,0,2022,7,9,5,1,195.98,193.19807652985037
2023-08-11,10,0,0,2023,8,11,4,0,213.27,233.57481550605007
2023-06-01,2,0,0,2023,6,1,3,0,217.21,230.4685952646323
2023-12-04,7,0,0,2023,12,4,0,0,237.94,246.97761006004293
2022-02-14,6,0,0,2022,2,14,0,0,215.35,213.2267742534823
2022-11-18,9,0,0,2022,11,18,4,0,214.26,219.78585426806967
2023-01-13,4,1,0,2023,1,13,4,0,255.76,252.4982648144287
2023-05-19,5,0,0,2023,5,19,4,0,201.9,227.692137728518
2023-08-01,3,0,0,2023,8,1,1,0,231.46,237.80803821094742
2022-02-12,2,0,0,2022,2,12,5,1,171.98,184.49955939410575
2022-05-17,10,0,0,2022,5,17,1,0,222.6,216.84765023696673
2023-10-05,5,1,0,2023,10,5,3,0,264.9,268.57982592518965
2022-12-01,10,0,1,2022,12,1,3,0,244.37,263.5453279219364
2022-04-10,10,0,0,2022,4,10,6,1,183.11,187.60577963551623
2023-03-20,7,1,0,2023,3,20,0,0,254.62,264.3613113488391
2022-06-01,7,1,0,2022,6,1,2,0,259.97,246.81440132593707
2022-08-03,3,0,0,2022,8,3,2,0,228.65,217.6611252754592
2023-01-01,1,1,0,2023,1,1,6,1,238.7,230.04601880174596
2022-11-11,9,0,0,2022,11,11,4,0,224.68,219.78585426806967
2022-12-02,7,0,1,2022,12,2,4,0,250.5,260.77308959243965
2023-11-09,6,1,0,2023,11,9,3,0,274.76,270.3705730058864
2022-05-28,1,0,0,2022,5,28,5,1,195.43,188.8509275652832
2023-07-29,9,1,0,2023,7,29,5,1,258.68,243.30752134769136
2022-06-18,5,1,0,2022,6,18,5,1,211.3,222.61079005466308
2023-10-08,8,1,0,2023,10,8,6,1,235.95,245.65230599253846
2023-02-12,1,0,0,2023,2,12,6,1,210.28,200.37808700920868
2022-06-18,10,0,0,2022,6,18,5,1,173.67,192.6834207877837
2023-06-21,5,0,0,2023,6,21,2,0,239.71,233.24083359412907
2023-06-17,6,0,0,2023,6,17,5,1,203.31,209.80287712603604
2023-10-19,5,0,1,2023,10,19,3,0,279.11,277.3385083665271
2022-12-18,5,1,0,2022,12,18,6,1,225.39,229.81737940614403
2022-10-29,2,1,0,2022,10,29,5,1,216.69,227.98725050335634
2023-01-29,7,0,0,2023,1,29,6,1,201.65,200.37386780259112
2022-05-06,2,0,0,2022,5,6,4,0,187.07,208.78615351617918
2022-10-04,6,0,0,2022,10,4,1,0,239.79,223.50442123090033
2022-03-20,1,1,0,2022,3,20,6,1,213.29,214.9767470185252
2022-02-27,4,0,0,2022,2,27,6,1,201.05,183.0034124032245
2023-06-13,8,0,0,2023,6,13,1,0,241.96,236.01307192364038
2022-04-04,10,0,0,2022,4,4,0,0,197.82,217.31870495031762
2022-10-13,10,0,0,2022,10,13,3,0,211.02,220.5121272491524
2023-09-24,7,0,1,2023,9,24,6,1,261.44,252.62024135318643
2022-02-28,2,0,0,2022,2,28,0,0,206.34,212.20590118257678
2022-03-31,4,0,0,2022,3,31,3,0,224.11,208.23211595202156
2023-03-22,6,1,0,2023,3,22,2,0,289.95,260.0929260284611
2022-09-05,6,1,0,2022,9,5,0,0,251.68,255.17893654976797
2023-01-03,7,0,0,2023,1,3,1,0,243.98,228.08020959106943
2022-08-07,9,1,0,2022,8,7,6,1,242.33,224.69613722517533
2023-12-13,5,0,0,2023,12,13,2,0,245.64,242.45400647194037
2022-12-12,8,0,0,2022,12,12,0,0,216.01,229.09249891860964
2023-03-01,1,0,0,2023,3,1,2,0,252.51,227.61337408432155
2023-01-28,1,0,0,2023,1,28,5,1,214.23,200.84914172256686
2022-11-25,8,0,1,2022,11,25,4,0,234.96,259.492779047192
2022-11-14,10,1,0,2022,11,14,0,0,229.97,259.2708672466033
2023-07-05,6,0,0,2023,7,5,2,0,262.87,235.03158067482582
2023-04-28,4,1,0,2023,4,28,4,0,263.84,257.1048512533307
2022-04-15,10,1,0,2022,4,15,4,0,218.92,240.49583145052748
2023-04-19,10,0,0,2023,4,19,2,0,238.29,231.44586730682204
2023-07-28,5,1,0,2023,7,28,4,0,233.83,261.96665595996456
2023-12-31,2,0,0,2023,12,31,6,1,210.11,215.98859340661147
2023-08-28,10,0,0,2023,8,28,0,0,218.84,241.60114961134968
2023-03-29,7,0,0,2023,3,29,2,0,258.59,229.14468369067617
2022-07-05,6,0,0,2022,7,5,1,0,231.19,218.89783479199832
2023-06-22,9,0,0,2023,6,22,3,0,256.67,232.2551231387115
2022-03-01,10,0,0,2022,3,1,1,0,209.08,213.77659261102963
2023-01-11,10,0,1,2023,1,11,2,0,273.72,266.80142391476693
2022-12-11,7,0,0,2022,12,11,6,1,200.97,199.12435533608368
2023-07-05,8,0,0,2023,7,5,2,0,248.03,235.54201721027493
2022-06-15,4,0,0,2022,6,15,2,0,236.71,214.84528591724666
2022-09-10,4,1,0,2022,9,10,5,1,236.12,226.96215822584054
2022-05-06,10,0,0,2022,5,6,4,0,186.47,210.8278996579902
2023-07-18,8,0,0,2023,7,18,1,0,243.21,237.5486007366053
2023-04-10,1,0,0,2023,4,10,0,0,227.06,233.16206994994718
2022-06-13,1,1,0,2022,6,13,0,0,247.93,249.2962587722359
2023-04-20,9,0,0,2023,4,20,3,0,257.98,229.1840655127744
2023-11-28,9,1,0,2023,11,28,1,0,301.23,275.1493948617135
2023-02-28,10,0,0,2023,2,28,1,0,231.7,230.3813932072153
2023-10-30,10,0,1,2023,10,30,0,0,262.46,284.6343502841337
2023-07-04,3,0,0,2023,7,4,1,0,227.7,236.27250939797523
2022-06-14,5,1,0,2022,6,14,1,0,251.45,248.31054831681104
2022-06-20,2,0,0,2022,6,20,0,0,198.72,218.34801643445098
2023-08-24,8,0,0,2023,8,24,3,0,231.17,235.07096249692404
2022-04-14,4,1,0,2022,4,14,3,0,256.43,240.97110537049593
2022-04-12,7,0,0,2022,4,12,1,0,227.34,214.54646662082087
2022-08-14,7,0,0,2022,8,14,6,1,209.19,192.98224008420948
2022-03-08,6,0,0,2022,3,8,1,0,229.78,212.75571954012412
2022-08-01,9,0,0,2022,8,1,0,0,231.04,223.20560193446727
2022-11-01,3,0,0,2022,11,1,1,0,217.56,224.27429524069157
2022-03-31,3,1,0,2022,3,31,3,0,226.4,239.18035828980646
2022-04-20,5,0,0,2022,4,20,2,0,212.6,212.0294465590341
2023-06-03,10,1,0,2023,6,3,5,1,219.59,242.027210802451
2023-08-08,3,1,0,2023,8,8,1,0,265.32,269.0114988164569
2022-02-07,2,0,0,2022,2,7,0,0,194.57,212.20590118257678
2022-02-18,3,0,0,2022,2,18,4,0,175.0,204.43478534500173
2023-06-05,10,0,0,2023,6,5,0,0,229.52,238.53009198541258
2022-05-18,7,1,1,2022,5,18,2,0,300.44,285.24101555981906
2023-07-24,6,1,0,2023,7,24,0,0,267.6,270.2482083329887
2022-08-10,9,0,0,2022,8,10,2,0,249.78,219.19243488181382
2022-12-23,8,0,0,2022,12,23,4,0,189.63,221.06616481331002
2023-01-08,5,0,0,2023,1,8,6,1,198.43,199.863431267142
2022-03-31,2,1,1,2022,3,31,3,0,273.79,278.8872830689288
2023-11-05,2,1,0,2023,11,5,6,1,248.67,245.65652519915602
2023-10-15,2,0,0,2023,10,15,6,1,217.46,212.91753578067437
2023-11-20,3,0,0,2023,11,20,0,0,226.09,244.4212081761725
2022-06-28,3,0,0,2022,6,28,1,0,219.35,216.59665117585246
2023-03-24,10,1,0,2023,3,24,4,0,233.59,257.1006320467204
2023-02-04,1,0,0,2023,2,4,5,1,197.45,202.38467053553904
2022-06-02,2,0,0,2022,6,2,3,0,207.54,212.32826585547446
2023-10-08,5,1,0,2023,10,8,6,1,239.52,244.88665118936478
2023-11-13,9,1,0,2023,11,13,0,0,282.99,277.1559783880366
2023-03-26,2,0,0,2023,3,26,6,1,200.37,202.16883408989816
2023-08-18,6,0,0,2023,8,18,4,0,224.71,232.55394243514456
2023-07-19,10,0,1,2023,7,19,2,0,279.98,276.01459679257823
2023-11-02,3,0,0,2023,11,2,3,0,231.06,238.40145759719599
2023-04-02,1,0,0,2023,4,2,6,1,206.95,203.44914463514579
2023-05-06,3,0,0,2023,5,6,5,1,202.37,207.50169350989017
2023-11-21,1,0,0,2023,11,21,1,0,253.25,241.9041881144003
2022-08-21,9,0,0,2022,8,21,6,1,207.99,193.49267661966587
2023-04-24,10,0,0,2023,4,24,0,0,210.88,235.45903435947548
2023-05-09,3,0,0,2023,5,9,1,0,235.52,233.2014517720454
2023-06-05,4,0,0,2023,6,5,0,0,230.51,236.99878237905796
2022-10-23,8,1,0,2022,10,23,6,1,226.04,227.5119765833806
2023-12-01,6,0,0,2023,12,1,4,0,234.65,238.69605768701877
2023-05-10,9,1,0,2023,5,10,2,0,284.76,263.92963845757185
2023-03-01,3,0,0,2023,3,1,2,0,232.26,228.12381061977794
2023-01-14,8,0,0,2023,1,14,5,1,185.9,202.63566959664604
2023-09-03,9,0,0,2023,9,3,6,1,231.91,213.16853484178864
2022-11-01,4,0,1,2022,11,1,1,0,278.6,264.4916565552703
2022-04-27,5,0,0,2022,4,27,2,0,216.27,212.0294465590341
2023-11-15,5,0,0,2023,11,15,2,0,249.01,240.9184776589682
2022-04-26,2,0,0,2022,4,26,1,0,215.37,213.2703752821908
2023-06-27,1,0,0,2023,6,27,1,0,254.91,234.2265440495612
2022-03-16,6,1,0,2022,3,16,2,0,258.72,241.95259661930322
2023-06-22,6,1,0,2023,6,22,3,0,274.59,262.69292894104
2022-01-30,6,0,1,2022,1,30,6,1,234.14,221.9404631725629
2023-12-18,8,0,0,2023,12,18,0,0,231.47,247.2328283277675
2022-05-08,9,0,0,2022,5,8,6,1,207.89,188.88609018075658
2023-09-16,7,0,0,2023,9,16,5,1,204.57,214.66468183266988
2022-02-14,5,1,0,2022,2,14,0,0,231.66,244.1750165912672
2022-12-06,4,0,0,2022,12,6,1,0,251.47,226.06504232138832
2022-11-15,2,0,0,2022,11,15,1,0,222.7,224.019076972967
2023-05-16,3,0,0,2023,5,16,1,0,220.91,233.2014517720454
2022-12-07,4,0,0,2022,12,7,2,0,257.22,224.05845879505796
2022-09-11,8,1,0,2022,9,11,6,1,227.11,225.9764477704157
2022-08-26,1,0,0,2022,8,26,4,0,204.83,213.13752168736391
2023-02-08,2,0,0,2023,2,8,2,0,232.18,226.3330635390812
2022-07-14,9,0,0,2022,7,14,3,0,232.93,215.65032254251855
2023-09-02,6,0,0,2023,9,2,5,1,219.2,214.40946356493805
2022-09-30,8,0,0,2022,9,30,4,0,196.55,216.459578374408
2023-01-02,8,0,0,2023,1,2,0,0,218.18,230.34201138512435
2023-01-05,9,1,0,2023,1,5,3,0,269.72,255.78093967938185
2022-02-28,5,0,0,2022,2,28,0,0,190.28,212.97155598575773
2023-10-29,8,1,0,2023,10,29,6,1,239.03,245.65230599253846
2023-05-11,8,0,0,2023,5,11,3,0,229.45,230.46437605801475
2023-06-24,7,0,0,2023,6,24,5,1,212.32,210.0580953937606
2022-09-27,6,0,0,2022,9,27,1,0,233.14,221.96889241793542
2022-08-07,5,0,1,2022,8,7,6,1,239.49,232.43394659560727
2023-11-04,9,0,0,2023,11,4,5,1,230.11,218.2461759940561
2023-02-28,6,0,0,2023,2,28,1,0,250.56,229.36052013631706
2023-05-12,9,0,0,2023,5,12,4,0,237.76,228.71301079941622
2022-11-06,5,0,0,2022,11,6,6,1,189.2,197.07838998766238
2023-01-02,3,0,0,2023,1,2,0,0,214.91,229.06592004649428
2023-08-17,1,0,0,2023,8,17,3,0,248.48,233.28443462284486
2023-06-20,4,0,0,2023,6,20,1,0,247.1,234.99219885273487
2023-05-03,6,0,0,2023,5,3,2,0,253.63,231.96052304888872
2023-07-15,1,0,0,2023,7,15,5,1,223.85,210.06231460037816
2023-08-30,8,0,0,2023,8,30,2,0,241.62,237.07754602324712
2022-11-13,8,1,0,2022,11,13,6,1,228.24,229.0475053963528
2022-09-01,1,1,0,2022,9,1,3,0,249.79,247.88309463216137
2022-02-27,7,0,0,2022,2,27,6,1,192.62,183.76906720640545
2023-12-06,10,1,0,2023,12,6,2,0,269.16,274.9335584160799
2023-02-10,1,0,0,2023,2,10,4,0,211.2,222.06467821871047
2023-12-14,2,0,0,2023,12,14,3,0,230.49,239.68176814243634
2022-09-19,1,0,0,2022,9,19,0,0,201.81,222.69938460562844
2023-05-21,7,1,0,2023,5,21,6,1,238.19,237.7194436599748
2022-03-28,10,1,0,2022,3,28,0,0,229.14,246.98663674286217
2022-08-18,3,0,0,2022,8,18,3,0,199.98,215.65454174913611
